resource,bytes,organisations,endpoints,start-date,end-date
012f8388464f722b48b7ea94b7edb69aef9454c8a806c1e95f699a02baaff11d,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-04-22,2021-04-22
021556e1238ce2849e78ecbf9f45f3f6cb3067597a21af2cec695a6f1ef4be3d,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-10-02,2021-10-02
02ba08027dd5e4cb8a11fcafc642f817402e5e66b686ad1c45eea2304e645d67,772405,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-04-10,2021-04-10
02ff581edb502677416a3dbf879a3e3502781e524367c037c95196b3d34a3d64,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-12-12,2021-12-12
033560d894978113cca4a1d160a83aaadd6959f1d38eabd6b73f775a977032ae,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-07-24,2021-07-24
04b7018ce73f6b1b43912306bc1da795f1458fa1e1161f752ba8d7a65373457b,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-12-03,2021-12-03
04d6672fbfe372c6d331f55de5577921aa0fb66f57e2a00955dc70215bfbe2b4,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-02-04,2021-02-04
05db7feb12a46a42ecfa44213461b380d30202d2db60942b4d1a944fe9186478,709091,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-11-27,2021-11-27
06fd8acc65c94b7eb07419b40050567ed0faf72db239c7912020fce71e06ee6a,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-01-01,2021-01-01
078d222f3e798db8a1171fbbc1c7b380f74a48847f2135f9d5eca8842083fb6f,833212,local-authority-eng:CON,201c08f03d060f21f71bc93e64b7b166a6e2f34ccb772d19fbf2e3ec2084cdeb,2021-01-24,2021-01-24
