row-number,field,issue-type,value
1,geography,default,BR1
1,entry-date,default,2021-03-25
2,geography,default,BR2
2,entry-date,default,2021-03-25
3,geography,default,BR4
3,entry-date,default,2021-03-25
4,geography,default,BR5
4,entry-date,default,2021-03-25
5,geography,default,BR14
5,entry-date,default,2021-03-25
6,geography,default,BR16
6,entry-date,default,2021-03-25
7,geography,default,BR17
7,entry-date,default,2021-03-25
8,geography,default,BR18
8,entry-date,default,2021-03-25
9,geography,default,BR20
9,entry-date,default,2021-03-25
10,geography,default,BR21
10,entry-date,default,2021-03-25
11,geography,default,BR22
11,entry-date,default,2021-03-25
12,geography,default,BR24
12,entry-date,default,2021-03-25
13,geography,default,BR25
13,entry-date,default,2021-03-25
14,geography,default,BR29
14,entry-date,default,2021-03-25
15,geography,default,BR33
15,entry-date,default,2021-03-25
16,geography,default,BR34
16,entry-date,default,2021-03-25
17,geography,default,BR35
17,entry-date,default,2021-03-25
18,geography,default,BR36
18,entry-date,default,2021-03-25
19,geography,default,BR37
19,entry-date,default,2021-03-25
20,geography,default,BR38
20,entry-date,default,2021-03-25
21,geography,default,BR39
21,entry-date,default,2021-03-25
22,geography,default,BR42
22,entry-date,default,2021-03-25
23,geography,default,BR43
23,entry-date,default,2021-03-25
24,geography,default,BR44
24,entry-date,default,2021-03-25
25,geography,default,BR45
25,entry-date,default,2021-03-25
26,geography,default,BR46
26,entry-date,default,2021-03-25
27,geography,default,BR50
27,entry-date,default,2021-03-25
28,geography,default,BR52
28,entry-date,default,2021-03-25
29,geography,default,BR53
29,entry-date,default,2021-03-25
30,geography,default,BR57
30,entry-date,default,2021-03-25
31,geography,default,BR58
31,entry-date,default,2021-03-25
32,geography,default,BR60
32,entry-date,default,2021-03-25
33,geography,default,BR61
33,entry-date,default,2021-03-25
34,geography,default,BR63
34,entry-date,default,2021-03-25
35,geography,default,BR65
35,entry-date,default,2021-03-25
36,geography,default,BR67
36,entry-date,default,2021-03-25
37,geography,default,BR69
37,entry-date,default,2021-03-25
38,geography,default,BR70
38,entry-date,default,2021-03-25
39,geography,default,BR80
39,entry-date,default,2021-03-25
40,geography,default,BR84
40,entry-date,default,2021-03-25
41,geography,default,BR86
41,entry-date,default,2021-03-25
42,geography,default,BR87
42,entry-date,default,2021-03-25
43,geography,default,BR89
43,entry-date,default,2021-03-25
44,geography,default,BR90
44,entry-date,default,2021-03-25
45,geography,default,BR97
45,entry-date,default,2021-03-25
46,geography,default,BR102
